,0,CSNK1A1,Interactors,CSNK1E,CSNK1D,CSNK1A1L
54,0,0.0,2077,0.0,0.0,0.0
55,0,0.0,2171,0.0,0.0,0.0
56,0,0.0,222584,0.0,0.0,0.0
57,0,0.0,2289,0.0,0.0,0.0
58,0,0.0,22931,0.0,0.0,0.0
59,0,0.0,23028,0.0,0.0,0.0
60,0,0.0,23095,0.0,0.0,0.0
61,0,0.0,2314,0.0,0.0,0.0
62,0,0.0,23164,0.0,0.0,0.0
63,0,0.0,23191,0.0,0.0,0.0
64,0,1.0,23239,0.0,0.0,0.0
65,0,0.0,23303,0.0,0.0,0.0
66,0,0.0,23367,0.0,0.0,0.0
67,0,0.0,23677,0.0,0.0,0.0
68,0,0.0,25776,0.0,0.0,0.0
69,0,0.0,26057,0.0,0.0,0.0
70,0,0.0,26130,0.0,0.0,0.0
71,0,0.0,26227,0.0,0.0,0.0
72,0,0.0,2673,0.0,0.0,0.0
73,0,1.0,2737,0.0,0.0,0.0
74,0,1.0,2783,0.0,0.0,0.0
75,0,0.0,283237,0.0,0.0,0.0
76,0,0.0,286077,0.0,0.0,0.0
77,0,0.0,28966,0.0,0.0,0.0
78,0,0.0,29925,0.0,0.0,0.0
79,0,0.0,29927,0.0,0.0,0.0
80,0,0.0,3007,0.0,0.0,0.0
81,0,0.0,3066,0.0,0.0,0.0
82,0,0.0,31,0.0,0.0,0.0
83,0,0.0,3146,0.0,0.0,0.0
84,0,0.0,3148,0.0,0.0,0.0
85,0,0.0,3161,0.0,0.0,0.0
86,0,1.0,3183,0.0,0.0,0.0
87,0,1.0,324,0.0,0.0,0.0
88,0,0.0,3301,0.0,0.0,0.0
89,0,1.0,3308,0.0,0.0,0.0
90,0,2.0,3320,0.0,0.0,0.0
91,0,0.0,3329,0.0,0.0,0.0
92,0,0.0,337867,0.0,0.0,0.0
93,0,0.0,3420,0.0,0.0,0.0
94,0,0.0,3612,0.0,0.0,0.0
95,0,0.0,3613,0.0,0.0,0.0
96,0,0.0,3688,0.0,0.0,0.0
97,0,0.0,3837,0.0,0.0,0.0
98,0,0.0,3838,0.0,0.0,0.0
99,0,0.0,3842,0.0,0.0,0.0
100,0,0.0,3930,0.0,0.0,0.0
101,0,0.0,3981,0.0,0.0,0.0
102,0,0.0,4008,0.0,0.0,0.0
103,0,0.0,4040,0.0,0.0,0.0
104,0,0.0,4041,0.0,0.0,0.0
105,0,2.0,4137,0.0,0.0,0.0
106,0,0.0,4141,0.0,0.0,0.0
107,0,0.0,4144,0.0,0.0,0.0
108,0,0.0,4163,0.0,0.0,0.0
109,0,0.0,4193,0.0,0.0,0.0
110,0,2.0,4194,0.0,0.0,0.0
111,0,0.0,4292,0.0,0.0,0.0
112,0,0.0,4501,0.0,0.0,0.0
113,0,0.0,4670,0.0,0.0,0.0
114,0,0.0,4710,0.0,0.0,0.0
115,0,0.0,4722,0.0,0.0,0.0
116,0,0.0,476,0.0,0.0,0.0
117,0,0.0,4792,0.0,0.0,0.0
118,0,0.0,488,0.0,0.0,0.0
119,0,0.0,4976,0.0,0.0,0.0
120,0,0.0,498,0.0,0.0,0.0
121,0,0.0,49854,0.0,0.0,0.0
122,0,0.0,506,0.0,0.0,0.0
123,0,0.0,509,0.0,0.0,0.0
124,0,0.0,51133,0.0,0.0,0.0
125,0,0.0,51163,0.0,0.0,0.0
126,0,5.0,51185,0.0,0.0,0.0
127,0,1.0,5144,0.0,0.0,0.0
128,0,0.0,5211,0.0,0.0,0.0
129,0,0.0,523,0.0,0.0,0.0
130,0,0.0,53615,0.0,0.0,0.0
131,0,1.0,54764,0.0,0.0,0.0
132,0,0.0,5515,0.0,0.0,0.0
133,0,0.0,55210,0.0,0.0,0.0
134,0,0.0,55622,0.0,0.0,0.0
135,0,0.0,55752,0.0,0.0,0.0
136,0,0.0,55832,0.0,0.0,0.0
137,0,0.0,55898,0.0,0.0,0.0
138,0,0.0,5591,0.0,0.0,0.0
139,0,0.0,5604,0.0,0.0,0.0
140,0,1.0,5664,0.0,0.0,0.0
141,0,0.0,5705,0.0,0.0,0.0
142,0,0.0,571,0.0,0.0,0.0
143,0,2.0,5728,0.0,0.0,0.0
144,0,0.0,57530,0.0,0.0,0.0
145,0,0.0,57683,0.0,0.0,0.0
146,0,0.0,58,0.0,0.0,0.0
147,0,0.0,5879,0.0,0.0,0.0
148,0,0.0,5894,0.0,0.0,0.0
149,0,0.0,5905,0.0,0.0,0.0
150,0,0.0,5981,0.0,0.0,0.0
151,0,0.0,6122,0.0,0.0,0.0
152,0,0.0,6124,0.0,0.0,0.0
153,0,0.0,6155,0.0,0.0,0.0
154,0,0.0,6184,0.0,0.0,0.0
155,0,0.0,6188,0.0,0.0,0.0
156,0,0.0,6210,0.0,0.0,0.0
157,0,0.0,6234,0.0,0.0,0.0
158,0,0.0,6396,0.0,0.0,0.0
159,0,0.0,640,0.0,0.0,0.0
160,0,0.0,644815,0.0,0.0,0.0
161,0,0.0,6455,0.0,0.0,0.0
162,0,0.0,64599,0.0,0.0,0.0
163,0,0.0,653784,0.0,0.0,0.0
164,0,0.0,6576,0.0,0.0,0.0
165,0,3.0,6622,0.0,0.0,0.0
166,0,0.0,6744,0.0,0.0,0.0
167,0,0.0,6772,0.0,0.0,0.0
168,0,1.0,7074,0.0,0.0,0.0
