Index,Symbol,ID
904,CCNT1,904
905,CCNT2,905
908,CCT6A,908
909,CD1A,909
910,CD1B,910
911,CD1C,911
912,CD1D,912
913,CD1E,913
914,CD2,914
915,CD3D,915
916,CD3E,916
917,CD3G,917
919,CD247,919
920,CD4,920
921,CD5,921
922,CD5L,922
923,CD6,923
924,CD7,924
925,CD8A,925
926,CD8B,926
927,CD8B2,927
928,CD9,928
929,CD14,929
930,CD19,930
931,MS4A1,931
932,MS4A3,932
933,CD22,933
935,CD24P1,935
936,CD24P2,936
937,CD24P3,937
938,CD24P4,938
939,CD27,939
940,CD28,940
941,CD80,941
942,CD86,942
943,TNFRSF8,943
944,TNFSF8,944
945,CD33,945
946,SIGLEC6,946
947,CD34,947
948,CD36,948
949,SCARB1,949
950,SCARB2,950
951,CD37,951
952,CD38,952
953,ENTPD1,953
954,ENTPD2,954
956,ENTPD3,956
957,ENTPD5,957
958,CD40,958
959,CD40LG,959
960,CD44,960
961,CD47,961
962,CD48,962
963,CD53,963
965,CD58,965
966,CD59,966
967,CD63,967
968,CD68,968
969,CD69,969
970,CD70,970
971,CD72,971
972,CD74,972
973,CD79A,973
974,CD79B,974
975,CD81,975
976,ADGRE5,976
977,CD151,977
978,CDA,978
983,CDK1,983
984,CDK11B,984
987,LRBA,987
988,CDC5L,988
989,41888,989
990,CDC6,990
991,CDC20,991
993,CDC25A,993
994,CDC25B,994
995,CDC25C,995
996,CDC27,996
997,CDC34,997
998,CDC42,998
999,CDH1,999
1000,CDH2,1000
1001,CDH3,1001
1002,CDH4,1002
1003,CDH5,1003
1004,CDH6,1004
1005,CDH7,1005
1006,CDH8,1006
1007,CDH9,1007
1008,CDH10,1008
1009,CDH11,1009
1010,CDH12,1010
1011,CDH12P2,1011
1012,CDH13,1012
1013,CDH15,1013
1014,CDH16,1014
1015,CDH17,1015
1016,CDH18,1016
1017,CDK2,1017
1018,CDK3,1018
1019,CDK4,1019
1020,CDK5,1020
1021,CDK6,1021
1022,CDK7,1022
1024,CDK8,1024
1025,CDK9,1025
1026,CDKN1A,1026
1027,CDKN1B,1027
1028,CDKN1C,1028
1029,CDKN2A,1029
1030,CDKN2B,1030
1031,CDKN2C,1031
1032,CDKN2D,1032
1033,CDKN3,1033
1036,CDO1,1036
1038,CDR1,1038
1039,CDR2,1039
1040,CDS1,1040
1041,CDSN,1041
1043,CD52,1043
1044,CDX1,1044
1045,CDX2,1045
1046,CDX4,1046
1047,CLGN,1047
1048,CEACAM5,1048
1050,CEBPA,1050
1051,CEBPB,1051
1052,CEBPD,1052
1053,CEBPE,1053
1054,CEBPG,1054
1056,CEL,1056
1057,CELP,1057
1058,CENPA,1058
1059,CENPB,1059
1060,CENPC,1060
1061,CENPCP1,1061
1062,CENPE,1062
1063,CENPF,1063
1066,CES1,1066
1068,CETN1,1068
1069,CETN2,1069
1070,CETN3,1070
1071,CETP,1071
1072,CFL1,1072
1073,CFL2,1073
1074,CFL1P5,1074
1075,CTSC,1075
1080,CFTR,1080
1081,CGA,1081
1082,CGB3,1082
1084,CEACAM3,1084
1085,CEACAMP5,1085
1086,CEACAMP11,1086
1087,CEACAM7,1087
1088,CEACAM8,1088
1089,CEACAM4,1089
1090,CEACAMP1,1090
1091,CEACAMP2,1091
1092,CEACAMP3,1092
1093,CEACAMP4,1093
1094,CEACAMP6,1094
1095,CEACAMP7,1095
1096,CEACAMP8,1096
1097,CEACAMP9,1097
1098,CEACAMP10,1098
1101,CHAD,1101
1102,RCBTB2,1102
1103,CHAT,1103
1104,RCC1,1104
1105,CHD1,1105
1106,CHD2,1106
1107,CHD3,1107
1108,CHD4,1108
1109,AKR1C4,1109
1111,CHEK1,1111
1112,FOXN3,1112
1113,CHGA,1113
1114,CHGB,1114
1116,CHI3L1,1116
1117,CHI3L2,1117
1118,CHIT1,1118
1119,CHKA,1119
1120,CHKB,1120
1121,CHM,1121
1122,CHML,1122
1123,CHN1,1123
1124,CHN2,1124
1128,CHRM1,1128
1129,CHRM2,1129
1130,LYST,1130
1131,CHRM3,1131
1132,CHRM4,1132
1133,CHRM5,1133
1134,CHRNA1,1134
1135,CHRNA2,1135
1136,CHRNA3,1136
1137,CHRNA4,1137
1138,CHRNA5,1138
1139,CHRNA7,1139
1140,CHRNB1,1140
1141,CHRNB2,1141
1142,CHRNB3,1142
1143,CHRNB4,1143
1144,CHRND,1144
1145,CHRNE,1145
1146,CHRNG,1146
1147,CHUK,1147
1149,CIDEA,1149
1152,CKB,1152
1153,CIRBP,1153
1154,CISH,1154
1155,TBCB,1155
1156,CKBE,1156
1157,CKBP1,1157
1158,CKM,1158
1159,CKMT1B,1159
1160,CKMT2,1160
1161,ERCC8,1161
1163,CKS1B,1163
1164,CKS2,1164
1173,AP2M1,1173
1174,AP1S1,1174
1175,AP2S1,1175
1176,AP3S1,1176
1178,CLC,1178
1179,CLCA1,1179
1180,CLCN1,1180
1181,CLCN2,1181
1182,CLCN3,1182
1183,CLCN4,1183
1184,CLCN5,1184
1185,CLCN6,1185
1186,CLCN7,1186
1187,CLCNKA,1187
1188,CLCNKB,1188
1191,CLU,1191
1192,CLIC1,1192
1193,CLIC2,1193
1195,CLK1,1195
1196,CLK2,1196
1197,CLK2P1,1197
1198,CLK3,1198
1200,TPP1,1200
1201,CLN3,1201
1203,CLN5,1203
1204,CLNS1AP1,1204
1207,CLNS1A,1207
1208,CLPS,1208
1209,CLPTM1,1209
1211,CLTA,1211
1212,CLTB,1212
1213,CLTC,1213
1215,CMA1,1215
1230,CCR1,1230
1232,CCR3,1232
1233,CCR4,1233
1234,CCR5,1234
1235,CCR6,1235
1236,CCR7,1236
1237,CCR8,1237
1238,ACKR2,1238
1240,CMKLR1,1240
1241,LTB4R,1241
1244,ABCC2,1244
1245,CMR1A,1245
1246,CMR2A,1246
1247,CMR3A,1247
1255,CNA1,1255
1258,CNGB1,1258
1259,CNGA1,1259
1260,CNGA2,1260
1261,CNGA3,1261
1262,CNGA4,1262
1263,PLK3,1263
1264,CNN1,1264
1265,CNN2,1265
1266,CNN3,1266
1267,CNP,1267
1268,CNR1,1268
1269,CNR2,1269
1270,CNTF,1270
1271,CNTFR,1271
1272,CNTN1,1272
1277,COL1A1,1277
1278,COL1A2,1278
1279,COL1AR,1279
1280,COL2A1,1280
1281,COL3A1,1281
1282,COL4A1,1282
1283,CTD,1283
1284,COL4A2,1284
1285,COL4A3,1285
1286,COL4A4,1286
1287,COL4A5,1287
1288,COL4A6,1288
1289,COL5A1,1289
1290,COL5A2,1290
1291,COL6A1,1291
